comment,sentiment
solid af awareness young lad,Neutral
one word outplayed,Neutral
lecrae gets real losing luka kyrie mavs fixed title welcome,Neutral
good see lukas son jalen devin booker brother enjoying summer hope son shai enjoying cancun,Neutral
lol jj nice way saying guys try playoffs yeah sad get true hard playing hoops every night playoffs,Neutral
good mark know pro cons keep u growing could see,Neutral
high character guy man cant root,Neutral
young challend mavs luka ky ball okc,Neutral
okc one mistake away game 7 moving wcf,Neutral
order okc win title chet become man,Neutral
excellent interview,Neutral
also get real cool cause 23 year old millionaire,Neutral
year 1 pretty sure wolves 1 seed 90 season,Neutral
smart basketball,Neutral
great dude,Neutral
loved watching okc year wolves fan thought played dallas much tougher team luka hard beat finals okc going get better,Neutral
okc trading literal one piece needed absolute comedy fireable offense opinion presti helm long seems exactly like kd days okc,Neutral
game starting late,Neutral
okc going strong years come got picks half league,Neutral
nah honesty especially games 5 6 thunder hit open 3 mavs great job packing paint stopped lot drive kicks mavs defense awesome also speaks good shai around free throw line okc dallas going fun watch next 5 years,Neutral
look listen j dub voice might well jj redick nothin wrong sound black slang words voice,Neutral
okc played well dort ruined got occupied hurting flopping luka forgot offense,Neutral
jj like 8 interviews day lol work,Neutral
okc played well dort ruined poked luka much al know luka fights back,Neutral
channel shadow banned,Neutral
j dub let goooooo,Neutral
good player 3rd option shai real help,Neutral
alright jdub know gon na better next year,Neutral
play great defense ky foesho forget 2yr ago boston put real defense ky,Neutral
j dub become one favorite players watch good know health mindset well,Neutral
everytime think nba player cool hear em talk oh fuxin nerd lmao,Neutral
let go mavs love underdawgs series,Neutral
kid best 2 way player floor mavs fan really loved guys game,Neutral
seems like long since seen tommy,Neutral
jalen williams look like male naomi osaka,Neutral
mavs beat okc luka kyrie play well imagine luka kyrie played minnesota series would least game sooner okc clippers,Neutral
know got ta becky definitely tolerating raisins potato salad meals side chick probably black women,Neutral
okc going scary franchise west got pieces contender,Neutral
mavs fan glad holding head way ahead schedule losing future nba champions calling nothing ashamed,Neutral
mavs fan think okc toughest opponent truly great team,Neutral
okc great young team add one better next year likely add someone good,Neutral
feel like dallas okc minnesota maybe sa fighting west crown next 5 6 years theyre pretty young lot talent depth,Neutral
reason dallas went 6 games okc bc luka hurt look happened wolves 4 1,Neutral
dang know jay lowkey geek noticed nerd neck jus thought built weird tall aye respect tho,Neutral
glad learned throw lobs efficiently lame took till game 6 good luck next season setting chet easy buckets,Neutral
good see j dub like getting away double dribble overall thunder team definitely going poised back,Neutral
talks like number one seed proud took dallas six expected supposed win proud,Neutral
growns number 2 thunder chet great establish,Neutral
cue white people calling articulate well spoken iykyk,Neutral
okc needed guy step disappeared sga okc got ta get sga player ball matters,Neutral
mavs happened kd thunder beat split like harden westbrick,Neutral
clickbait title cmon better,Neutral
lost jdubb 3rd option 2nd option plus chet good yet,Neutral
jj mind pair well lebron bronny next year,Neutral
still pissed make true competitor future bright,Neutral
josh giddey got ta 6th man evident place starting lineup longer secured,Neutral
ok c next year,Neutral
mavs go 22 make come back 4 minutes dont care used,Neutral
could changed thumbnail cmon,Neutral
youtube let play video gives error message video happening,Neutral
bigol glasses,Neutral
thunder need get jonas valanciunas,Neutral
mavs fan okc better badder next season good kai luka,Neutral
mavs happen let go mavs,Neutral
looks like donyell marshall braids,Neutral
next season unlikely fortunate health dealing almost zero injuries let see okc handles situations mavs fan jdub one favorite players,Neutral
one fraudulent 1 seeds ever,Neutral
stop gets real captions getting obnoxious,Neutral
get breakdowns olympic basketball,Neutral
okc vs dallas rivalry going give league ton great content next couple years teams young incredibly talented,Neutral
funny cant hear barks anymore,Neutral
mark perfect coach team gives good mindset,Neutral
jalen know balceniaga devil child phedo ads ever supports devil,Neutral
real reason shai shai vs mavs team help lol,Neutral
got head screwed right,Neutral
hes next shai gilgeous alexander dress alike similar play styles,Neutral
huh detailed good analysis game pretty cool stuff,Neutral
okc becoming 13 years ago hopefully repeat mistake lose young stars,Neutral
became big big fan j dub past weeks months,Neutral
giddey provided nothing positive mavs dort shot 31 field glaring issues among others still put good fight,Neutral
yo jalen williams nice,Neutral
mavs better team happened,Neutral
letting gay boys pod,Neutral
j dub star next year,Neutral
great young talent also gifted brains seems,Neutral
lost playoff series hear next season idk players podcast offseason,Neutral
hope cringe okc team matures future bright boys,Neutral
j dub,Neutral
love j dub fun year exited see team grow many deep playoff runs,Neutral
okc need make big trade use lot picks good core need one extra player need wait use picks,Neutral
mavs really good defense happened,Neutral
cant wait okc next year,Neutral
future bright,Neutral
