comment,sentiment
ay yo 19 12 cat thumbs lol,Neutral
still remember nicky 9 10 starting bjj becoming prodigy,Positive
giant yeti,Neutral
bjj seems like chillest pro athlete life basically stoners gamers roll bunch hours day,Positive
ill watch boring ass play games,Neutral
mr mcry mkay,Neutral
twitch absolutely lol,Neutral
house nicky midget dream house could easily fit also,Neutral
nicky would play pc controller,Neutral
b team shit talking definitely pushed another level craig jones,Positive
lot people live like nicky actually crazy,Neutral
feeling guys f,Neutral
nicky ryan ghost need content foo,Neutral
twitch,Neutral
day life vlogs,Neutral
simple man see shirtless felix upvote,Neutral
someone tell nicky great gordon ryan impersonation,Neutral
love nicky lets go stud,Neutral
man depressing,Neutral
actually wan na see nicky stream twitch,Neutral
damn rewatching wno around 10 50 nicky ankle lock,Neutral
bro nice fucking coffee machine,Neutral
universe nicky ryan links joewo get nicky ryan goat movement god cod joewo jiujitsu goat make happen,Neutral
nicky stream would donate tho,Positive
would switch platforms stream games twitch stream youtube,Neutral
4 27,Neutral
tha hell happend pouring water grounded coffee xd,Neutral
nobody explained capital gains nicky half million going collect year p,Neutral
nicky please look 4 rule,Neutral
stream nicky,Neutral
stream youtube nicky probably people watch gon na watch ya stream etc,Neutral
bunch scrambling athletes jits guys even learn lol,Neutral
high hopes streaming channel,Positive
yessss stream,Neutral
wish jay rod would work technical combined athleticism think beat nicky ryan even mica,Positive
like gaming mise well make money monthly subs add,Neutral
used chase girls hell video games sausage fest,Neutral
nicky brotha ryan,Neutral
nicky follow twitch,Neutral
short hair jrod needs comeback wan na win trials agai,Neutral
convinced nicky hates jiu jitsu,Neutral
low iq fridge magnets,Neutral
17 01 cameraman captured shot looking,Neutral
guy lives nicky damien,Neutral
autistic cribs next level,Neutral
nicky r awesome,Neutral
nicky kind headphones got,Neutral
spin trailer park boys little chubby kid speaks like bubbles,Neutral
love video nicky ryan seems like humble kind guy would interesting made similar video rest participants,Positive
coffee contemplation lmfao,Neutral
hate break latte breaks fast,Neutral
8 12 per year get fucked,Neutral
jay wanted nicky love attention,Neutral
sisu see soo still get wrong spelled phonetically,Neutral
nicky ever fix knees,Neutral
like comment think nicky slash tires jay parks spot comment think jay anyway,Neutral
nicky sounds like teacher south park mmmkay,Neutral
nicky expensive pc uses gamepad adapter duo teammate using mouse keyboard,Neutral
nicky go jam mighty mouse,Neutral
cigar lover nicky help chime subject behike cigars premium product prices ranging 100 300 per stick cigar saved special occasion like adcc type events hope helps wish luck match jt torres,Neutral
eyes simply believe ears nicky ryan calls someone bitch made,Neutral
lol sick stuff got ta get cold plunge,Neutral
steel tower kitchen,Neutral
start streaming people give money reason might well bud,Neutral
start streaming,Positive
never thought id hear po saying get fucking wrecked,Neutral
defo gon na support nickys crypto addiction hes gon na start streaming,Neutral
100 subbing twitch time ever sub haha,Neutral
brother tamper comes magnetic holder,Neutral
like vlog,Neutral
cod like guys throw twitch prime sub viewers probably use amazon prime likely ever use free twitch prime sub,Neutral
nicky ryan twitch,Neutral
need nicky ryan hell divers 2 lobby,Neutral
nicky ryan nicky ryan guy know,Neutral
wim hof cold plunge,Neutral
would sub,Neutral
milk breaks fast nicholas make black coffee,Neutral
think people even bjj would watch gordon ryan little brother stream gaming lot people outside bjj know gordon,Neutral
simple life,Neutral
stream nicky,Neutral
nicky ryan toughest barista austin,Neutral
id watch idk id give money someone richer lol,Neutral
guys right way enjoying journey fun,Positive
sick big fan nicky,Neutral
nicky swipe phone see day,Neutral
need see nicky ryan cs2 arc,Neutral
roommate college lived exactly like maybe tried grappling would turned differently,Neutral
start streaming,Positive
someone missing thumbnail usual,Neutral
craig jones calendar wall behind nicky 9 20,Neutral
craigs little brother funny,Neutral
10 10 rather watch nicky make espresso watch gordon talk truck giving away saying,Neutral
stream,Neutral
cool dude nicky need day life vlog rod brothers,Positive
video games bjj hell yeah,Neutral
get new pc microcenter stream,Neutral
3k cold plunge living weird times,Neutral
need grind beans bit finer pull tamper properly press nicky looks like coffee coming way fast,Neutral
play cod like bjj hahaha,Neutral
gordon watching,Neutral
