comment,sentiment
congrats respect mikey osss,Positive
yesssss mikeyy,Positive
revenge nerd,Negative
beast,Negative
omg wait one 2 humble warriors love jiu jitsu,Positive
cringe af idc could fold like pretzel lol goofy,Negative
mickey number one ever lose detail makes better others kind clever personality admire,Positive
mickey kade going epic,Positive
probably overreacting entertaining see like tha lol,Neutral
long steroid free acknowledge guys greatness,Neutral
autistic xd,Negative
guy best,Positive
snoozefest,Negative
boy aspergers fun watch,Negative
said something family took personal mikey performing technique last dance sousa calf slicer knee crank sousa dancing anytime soon sousa know knows,Neutral
one championship heres 50k darth rig fuck,Positive
well went hater fan hell yea,Positive
announcer interviewing mikey horrible stop taking mic let speak energy mikey let get annoying,Negative
angry mikey vs sousa mma must happen,Neutral
fight bjj fight amateur wrestling alot closer bjj match,Neutral
mam hes always pissed something lmao,Negative
musumeci ate much pizza affecting brain pride always comes fall,Negative
nice guy,Positive
assburgers unleashed,Negative
love much respect keeping real,Positive
guys match 10 minutes calm k spoken like true warrior,Positive
lol love kid,Positive
mikey always struck immature unhinged extremely great bjj though obviously,Positive
like version mikey,Neutral
brand autism,Negative
never seen fired,Negative
wait see mma goat,Neutral
opponent disrespectful professional victim barely find guy insta posts,Neutral
everyome autism anything really try,Positive
stands like falling forward trying stand straight,Neutral
autistic person autistic,Negative
mikey actually angry moving weight terrifying thing ever,Neutral
mike going hands full kade,Neutral
mikey confirmed eternal status emotionally unstable mayor douchebag village,Negative
mikey found religion profanity nice combo still beast comes breaking limbs,Positive
chosen one bambino,Positive
esse moleque parece ter autismo kkkk,Negative
hard imagine ruotolo 7 years younger musumeci definitely seems mature mikey seems like angry teenage gamer yelling behind computer screen,Negative
nuts,Negative
oh dam yall idea kinda monster never rolled,Neutral
absolutely love watching mikey roll longer stand hear speak like angry suburbs kid promise ring got dissed 14th birthday party,Positive
love freakshows hahaha good thing ruotolos got nerd gang goes mass shooting,Positive
musumeci cringe af even victory lost,Negative
mikey got dumpy know chatri making go weight classes pay per views cake alone,Negative
watch language brother,Neutral
dude weird,Negative
love mike pure genuine guy could kill hands nothing else lol,Positive
autism god damn super power,Negative
autistic assasin,Negative
respect always,Positive
mike weird fuck got mad issues,Negative
prison mike,Negative
foo form autism swear mike zuckerberg weird energy lol,Negative
si mikey lang ang nakita ko na kahit ref shinake hands nya bgo magsimula ang laban respectful talaga,Neutral
mikey cringe interview,Negative
meet kade middle,Positive
kade vs mikey gon na epic,Positive
mikey seem angry bro get things frustrating angry suit,Negative
way kept reaching mike lol,Neutral
brilliant jig jitsu guy mikey clue promotion pill ugh,Neutral
covid stfu gabriel didnt make excuse losing,Negative
juiced cheater thats talent,Neutral
subtitles,Neutral
stand mikey good,Neutral
mica galvão,Positive
mikey like mikey tmnt goofy someone touches family love,Positive
mikey italian fire burning within,Positive
going start saying curse words since mikey,Neutral
baby shark,Neutral
baby boy,Neutral
guys point star thinking important persons etc dude american italian way gringe f man,Negative
autism strong love,Positive
want mikey,Neutral
sousa looks filipino filipino,Neutral
mikey angry must ate store bought pizza,Negative
got mikey match,Neutral
anyone else hear ref call calf slicer ham sandwhich best knee exploder least w bag pack amazing,Positive
scared,Negative
talk dude,Neutral
mikey nice guy make mad,Neutral
poor mikey autism overdrive giving mic makes dangerous,Negative
mikey plays victims bro adcc cater game constantly bugging mo rule set clear,Neutral
boy win mikey got darth,Neutral
mikey stop whining time makes look unprofessional,Neutral
hate watching guy seen sit bell rings done times,Negative
girlfriend watch asked normally happen said even know guy,Neutral
bro care 50 grand,Neutral
hahahah easy fuck indeed,Negative
like lesbians sex,Neutral
mike musumeci villain origin story turning ronda rousey grappling,Neutral
new cringe king,Neutral
lil guy able dislocated every join body sacry nerd right,Neutral
guy actual crab usually see goes back legs come back far almost behind torso lol like contortionist literally contortionist think people talk crap accept someone personality type dominant sport like genetics genetics though dude put time aswell might well grateful respectful dude cool,Neutral
put much peperoncino pizza last night,Positive
