comment,sentiment
bjj best style,Positive
surely mean brazillian ju jitsu jujitsu ancient japanese battlefield art,Neutral
relate home 8 30pm nothing bs outside seen tons respect safe everyone great day,Positive
ah chappelle exactly happened,Neutral
weird people want defend think world people always good nice,Negative
guy,Neutral
funny japan kids fight much elementary school us start learning judo jiu jitsu junirey high school sudden fights,Neutral
lot pants grabbing jiu jitsu see practical real life guard passing stuff takes long time see real life going kicking stomping think pants grabbing best use time trying hold people pants like life depends grab pants hold pants let pants go standing moving holding onto pants would move pick chair throw makes hard sell entertainment many people pay watch people grab pants,Neutral
scared go church,Negative
lot pussies comment section sudden bjj champs,Negative
jujitsu ok sport completely useless self defence unless someones already knocked ground,Negative
need get chris haueter podcast joe,Neutral
one practises bjj going get simply stand run guy intentionally hurt someone got banned mma gym trained blew someone knee heard somewhere else train muay thai,Neutral
single leg x dangerous tall people,Neutral
adolescents,Neutral
honest question would compare bjj catch wrestling,Neutral
mentioned different body types different advantages female training always wondered advantage big booty lol,Neutral
joe rogan humble hey,Neutral
like striking nowadays internet many people underestimates bjj even grappling total,Neutral
worse martial art self defense streets,Negative
one going jump stage,Neutral
like lion grabbing baby,Neutral
well said joe well said,Positive
sorry joe good idea boxing kick boxing maybe muay thai bjj bjj mats devastatingly effective going ground public might waking hospital dudes friend soccer kicked head choking friend roll around mats wild,Neutral
man desire learn protect loved ones softttt,Negative
want joe,Neutral
8 51 true,Neutral
big guys get tested like middle sized guys,Neutral
inspirational,Positive
boxer always wondered true street fight would win bjj guy seasoned boxer feel like long let bjj guy get back would blatantly target chin nose liver smash power punches flurry non stop obviously poke eyes stomp genitals true fight life scenario guy really smash like cannon hands tough choke get arm leg lock,Neutral
average person really know hopeless jiu jitsu black belt grabs hold,Neutral
jiujitsu noun jiu jit su ju jit sü 1 1 gentle art folding clothes people still 2 involuntary yoga verb used object,Neutral
michael yo master interviewer glad joe rogan talk jiu jitsu,Neutral
