comment,sentiment
give 250 thousand tons spent,Neutral
aidentro,Negative
日本人の民よ,Negative
incroyable,Negative
ikea,Negative
love milk duds,Positive
mrbeast best,Positive
mrbeast please play roblox,Negative
se vida fosse uma musica badenjohn,Negative
oye mrbeast puedes regalar una xbox one,Neutral
fish,Negative
p,Negative
solo quiero una pc gamer c,Neutral
криса больше нет теперь только кристина,Negative
best mr beast,Positive
bruh milk duds good,Negative
skibidi,Negative
love u mr beast,Positive
love milk duds,Positive
4 21,Positive
oh milh duds anymore well,Positive
hello,Negative
love milk duds,Positive
cole cola explode,Negative
best mr beast,Positive
mr beast think best youtuber world even teh end time,Positive
w,Negative
yes,Negative
карл почему ты забрал 10 000 можно было поделить,Neutral
hey jimmy play plxd please online game soo cool please,Neutral
365fun next trend web games,Negative
mr beast,Neutral
country flag 25 tnts,Negative
0 12,Neutral
250000 тон тратила,Negative
dont father,Positive
mr beast ate featbles,Neutral
2024 waiting birthday,Negative
yes,Negative
hi,Negative
3 34,Negative
60 35,Negative
subbed,Negative
por que será que amigo mr beast parece mesmo mr beast,Neutral
mr beast best,Positive
hi,Negative
oh ps,Negative
sorry love milk duds 2 50,Positive
hi,Negative
anyone 2169,Neutral
спрошу 250 000 дрон против,Negative
arrest violating wright tell supervisor demand arrest,Neutral
stupid thought documentary,Neutral
get 204 million views,Neutral
hi,Negative
love mick duckles candies,Positive
cool,Positive
você é maluca em minecraft seu bicho só que você tá com uma doenças assim eu sei que você não vai entender só que eu adoro seus vídeos,Negative
milk duds mid,Positive
근데 한국말 더빙은 누가 한거야,Negative
anyone 1999,Neutral
cool,Positive
xin chào,Negative
я из россии и подписан,Negative
hoy día es un scp algunos lo llaman el scp 3008,Negative
stil 2024,Negative
anyone watching 2026,Neutral
anyone 2024,Neutral
milk doads amazing,Positive
mr beast meet quest xbox,Neutral
hola mr ber,Neutral
tnt 1000,Negative
mr beast would,Neutral
эй ты дружишь ссср,Negative
125 dollars,Negative
как я понимаю я здесь один русский язык знаю,Negative
yall yogscast captainsparklez whats going,Neutral
entertaining grown men,Negative
mom j,Positive
love mr beast,Positive
можно я когда то вылетела за карту меня просто забросила 6 33,Negative
yea,Negative
ченлер я люблю тебя,Negative
ченлер,Negative
watch 2024,Negative
я их люблю,Negative
day 13 upgrade inventory ibs_sufyan,Positive
day 13,Positive
wish dad,Positive
damn explosion thick,Neutral
hey love milk duds,Positive
